census_tract,PlaceType,count_of_Active_PlaceStatus
17031030900,Personal Service,1
17031030900,Retail,1
17031031000,Arts and Entertainment,6
17031031000,Childcare and Schools,1
17031031000,Dining,7
17031031000,"Financial, Insurance, Real Estate, Legal, and Professional",28
17031031000,Health Services,26
17031031000,Industrial,1
17031031000,Personal Service,9
17031031000,Public Services,3
17031031000,Retail,16
17031031000,Service or Programmed Residential Space,1
17031031000,Social Services & Political Advocacy,4
17031031000,Trade Service,36
17031031000,Unknown,1
17031031000,"Wholesale, storage and transit",2
17031031100,Arts and Entertainment,12
17031031100,Childcare and Schools,2
17031031100,Dining,10
17031031100,"Financial, Insurance, Real Estate, Legal, and Professional",27
17031031100,Fitness,1
17031031100,Health Services,4
17031031100,Personal Service,5
17031031100,Public Services,2
17031031100,Religious (except school or residence),2
17031031100,Retail,10
17031031100,Service or Programmed Residential Space,1
17031031100,Social Services & Political Advocacy,3
17031031100,Trade Service,17
17031031100,"Wholesale, storage and transit",4
17031031200,Arts and Entertainment,6
17031031200,Childcare and Schools,5
17031031200,Dining,33
17031031200,"Financial, Insurance, Real Estate, Legal, and Professional",17
17031031200,Health Services,12
17031031200,Personal Service,6
17031031200,Religious (except school or residence),1
17031031200,Retail,18
17031031200,Service or Programmed Residential Space,9
17031031200,Social Services & Political Advocacy,2
17031031200,Trade Service,5
17031031200,"Wholesale, storage and transit",2
17031031300,Arts and Entertainment,9
17031031300,Childcare and Schools,5
17031031300,Dining,1
17031031300,"Financial, Insurance, Real Estate, Legal, and Professional",27
17031031300,Fitness,3
17031031300,Health Services,5
17031031300,Industrial,2
17031031300,Personal Service,2
17031031300,Religious (except school or residence),1
17031031300,Retail,9
17031031300,Service or Programmed Residential Space,9
17031031300,Social Services & Political Advocacy,3
17031031300,Trade Service,11
17031031300,Unknown,2
17031031300,"Wholesale, storage and transit",7
17031031400,Arts and Entertainment,6
17031031400,Childcare and Schools,5
17031031400,Dining,1
17031031400,"Financial, Insurance, Real Estate, Legal, and Professional",41
17031031400,Health Services,36
17031031400,Industrial,1
17031031400,Personal Service,5
17031031400,Public Services,1
17031031400,Retail,9
17031031400,Service or Programmed Residential Space,1
17031031400,Social Services & Political Advocacy,2
17031031400,Trade Service,13
17031031400,"Wholesale, storage and transit",6
17031031501,Arts and Entertainment,1
17031031501,Childcare and Schools,3
17031031501,Dining,1
17031031501,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031031501,Health Services,3
17031031501,Personal Service,1
17031031501,Religious (except school or residence),3
17031031501,Retail,4
17031031501,Service or Programmed Residential Space,3
17031031501,Social Services & Political Advocacy,3
17031031501,Trade Service,6
17031031501,"Wholesale, storage and transit",1
17031031502,Arts and Entertainment,3
17031031502,Childcare and Schools,1
17031031502,Dining,4
17031031502,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031031502,Health Services,5
17031031502,Other,2
17031031502,Personal Service,6
17031031502,Retail,11
17031031502,Service or Programmed Residential Space,1
17031031502,Social Services & Political Advocacy,2
17031031502,Trade Service,5
17031031700,Arts and Entertainment,10
17031031700,Childcare and Schools,2
17031031700,Dining,14
17031031700,"Financial, Insurance, Real Estate, Legal, and Professional",26
17031031700,Fitness,1
17031031700,Health Services,12
17031031700,Industrial,1
17031031700,Other,1
17031031700,Personal Service,9
17031031700,Religious (except school or residence),4
17031031700,Retail,14
17031031700,Service or Programmed Residential Space,11
17031031700,Social Services & Political Advocacy,6
17031031700,Trade Service,20
17031031700,"Wholesale, storage and transit",5
17031031800,Arts and Entertainment,5
17031031800,Childcare and Schools,4
17031031800,Dining,5
17031031800,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031031800,Fitness,1
17031031800,Health Services,7
17031031800,Other,1
17031031800,Personal Service,4
17031031800,Public Services,1
17031031800,Religious (except school or residence),2
17031031800,Retail,8
17031031800,Social Services & Political Advocacy,1
17031031800,Trade Service,15
17031031800,"Wholesale, storage and transit",3
17031031900,Arts and Entertainment,6
17031031900,Childcare and Schools,1
17031031900,Dining,3
17031031900,"Financial, Insurance, Real Estate, Legal, and Professional",18
17031031900,Fitness,1
17031031900,Health Services,10
17031031900,Industrial,1
17031031900,Personal Service,4
17031031900,Religious (except school or residence),4
17031031900,Retail,18
17031031900,Social Services & Political Advocacy,1
17031031900,Trade Service,14
17031031900,"Wholesale, storage and transit",7
17031032100,Arts and Entertainment,7
17031032100,Childcare and Schools,4
17031032100,Dining,6
17031032100,"Financial, Insurance, Real Estate, Legal, and Professional",29
17031032100,Fitness,3
17031032100,Health Services,30
17031032100,Other,2
17031032100,Personal Service,11
17031032100,Public Services,2
17031032100,Retail,13
17031032100,Service or Programmed Residential Space,8
17031032100,Social Services & Political Advocacy,5
17031032100,Trade Service,19
17031032100,"Wholesale, storage and transit",4
17031040402,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031040402,Health Services,2
17031040402,Personal Service,1
17031040402,Trade Service,1
17031040800,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031050600,Trade Service,1
17031062600,Childcare and Schools,1
17031130200,Dining,3
17031130200,Personal Service,2
17031130200,Retail,1
17031140100,Childcare and Schools,2
17031140100,Dining,5
17031140100,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140100,Health Services,5
17031140100,Industrial,3
17031140100,Other,1
17031140100,Personal Service,3
17031140100,Retail,8
17031140100,Trade Service,8
17031140100,"Wholesale, storage and transit",5
17031140200,Arts and Entertainment,5
17031140200,Childcare and Schools,6
17031140200,Dining,11
17031140200,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031140200,Fitness,1
17031140200,Health Services,6
17031140200,Personal Service,6
17031140200,Religious (except school or residence),2
17031140200,Retail,19
17031140200,Service or Programmed Residential Space,2
17031140200,Social Services & Political Advocacy,3
17031140200,Trade Service,9
17031140200,"Wholesale, storage and transit",3
17031140301,Arts and Entertainment,3
17031140301,Childcare and Schools,1
17031140301,Dining,12
17031140301,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140301,Fitness,1
17031140301,Personal Service,4
17031140301,Retail,18
17031140301,Service or Programmed Residential Space,1
17031140301,Trade Service,4
17031140301,"Wholesale, storage and transit",2
17031140302,Arts and Entertainment,2
17031140302,Childcare and Schools,1
17031140302,Fitness,1
17031140302,Health Services,6
17031140302,Religious (except school or residence),3
17031140302,Retail,4
17031140302,Trade Service,12
17031140302,"Wholesale, storage and transit",2
17031140400,Arts and Entertainment,3
17031140400,Childcare and Schools,2
17031140400,Dining,16
17031140400,"Financial, Insurance, Real Estate, Legal, and Professional",26
17031140400,Fitness,1
17031140400,Health Services,8
17031140400,Industrial,1
17031140400,Personal Service,10
17031140400,Public Services,1
17031140400,Religious (except school or residence),2
17031140400,Retail,28
17031140400,Service or Programmed Residential Space,1
17031140400,Social Services & Political Advocacy,6
17031140400,Trade Service,40
17031140400,"Wholesale, storage and transit",11
17031140500,Arts and Entertainment,1
17031140500,Childcare and Schools,2
17031140500,Dining,10
17031140500,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031140500,Fitness,4
17031140500,Health Services,4
17031140500,Industrial,1
17031140500,Personal Service,8
17031140500,Religious (except school or residence),3
17031140500,Retail,17
17031140500,Social Services & Political Advocacy,1
17031140500,Trade Service,21
17031140500,"Wholesale, storage and transit",7
17031140601,Arts and Entertainment,2
17031140601,Childcare and Schools,1
17031140601,Dining,11
17031140601,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140601,Health Services,4
17031140601,Personal Service,6
17031140601,Retail,18
17031140601,Service or Programmed Residential Space,2
17031140601,Social Services & Political Advocacy,1
17031140601,Trade Service,9
17031140601,"Wholesale, storage and transit",3
17031140602,Arts and Entertainment,2
17031140602,Childcare and Schools,4
17031140602,Dining,6
17031140602,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031140602,Health Services,8
17031140602,Personal Service,2
17031140602,Retail,12
17031140602,Trade Service,6
17031140602,"Wholesale, storage and transit",8
17031140701,Arts and Entertainment,2
17031140701,Childcare and Schools,2
17031140701,Dining,15
17031140701,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031140701,Health Services,6
17031140701,Personal Service,6
17031140701,Religious (except school or residence),1
17031140701,Retail,23
17031140701,Social Services & Political Advocacy,2
17031140701,Trade Service,8
17031140702,Arts and Entertainment,1
17031140702,Childcare and Schools,3
17031140702,Dining,16
17031140702,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031140702,Fitness,3
17031140702,Health Services,3
17031140702,Personal Service,8
17031140702,Public Services,2
17031140702,Religious (except school or residence),3
17031140702,Retail,19
17031140702,Social Services & Political Advocacy,2
17031140702,Trade Service,20
17031140702,"Wholesale, storage and transit",3
17031140800,Arts and Entertainment,9
17031140800,Childcare and Schools,10
17031140800,Dining,13
17031140800,"Financial, Insurance, Real Estate, Legal, and Professional",38
17031140800,Fitness,4
17031140800,Health Services,24
17031140800,Other,1
17031140800,Personal Service,17
17031140800,Religious (except school or residence),4
17031140800,Retail,29
17031140800,Service or Programmed Residential Space,1
17031140800,Social Services & Political Advocacy,5
17031140800,Trade Service,35
17031140800,"Wholesale, storage and transit",4
17031150300,Retail,1
17031160601,Dining,1
17031160601,Religious (except school or residence),1
17031170900,Trade Service,1
17031191100,Social Services & Political Advocacy,1
17031200100,Arts and Entertainment,4
17031200100,Childcare and Schools,1
17031200100,Dining,4
17031200100,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031200100,Health Services,1
17031200100,Personal Service,5
17031200100,Religious (except school or residence),1
17031200100,Retail,6
17031200100,Trade Service,14
17031200100,"Wholesale, storage and transit",4
17031200200,Arts and Entertainment,1
17031200200,Childcare and Schools,2
17031200200,Dining,5
17031200200,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031200200,Health Services,3
17031200200,Industrial,6
17031200200,Personal Service,10
17031200200,Public Services,1
17031200200,Religious (except school or residence),5
17031200200,Retail,18
17031200200,Social Services & Political Advocacy,2
17031200200,Trade Service,20
17031200200,"Wholesale, storage and transit",8
17031200300,Childcare and Schools,1
17031200300,Dining,5
17031200300,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031200300,Health Services,4
17031200300,Industrial,3
17031200300,Personal Service,4
17031200300,Religious (except school or residence),5
17031200300,Retail,12
17031200300,Trade Service,7
17031200300,"Wholesale, storage and transit",2
17031200401,Childcare and Schools,2
17031200401,Dining,3
17031200401,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031200401,Fitness,3
17031200401,Health Services,1
17031200401,Personal Service,3
17031200401,Religious (except school or residence),2
17031200401,Retail,2
17031200401,Social Services & Political Advocacy,1
17031200401,Trade Service,7
17031200401,"Wholesale, storage and transit",1
17031200402,Arts and Entertainment,3
17031200402,Childcare and Schools,1
17031200402,Dining,7
17031200402,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031200402,Fitness,1
17031200402,Health Services,2
17031200402,Industrial,1
17031200402,Personal Service,4
17031200402,Religious (except school or residence),5
17031200402,Retail,8
17031200402,Trade Service,6
17031200402,"Wholesale, storage and transit",2
17031210602,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031210700,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031210800,Retail,1
17031210900,Health Services,1
17031220300,Arts and Entertainment,3
17031220300,Childcare and Schools,1
17031220300,Dining,3
17031220300,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031220300,Fitness,1
17031220300,Health Services,4
17031220300,Personal Service,2
17031220300,Retail,3
17031220300,Service or Programmed Residential Space,2
17031220300,Social Services & Political Advocacy,3
17031220300,Trade Service,11
17031220400,Arts and Entertainment,5
17031220400,Dining,12
17031220400,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031220400,Health Services,5
17031220400,Personal Service,4
17031220400,Religious (except school or residence),3
17031220400,Retail,8
17031220400,Service or Programmed Residential Space,1
17031220400,Trade Service,18
17031220400,"Wholesale, storage and transit",2
17031220500,Arts and Entertainment,6
17031220500,Childcare and Schools,2
17031220500,Dining,19
17031220500,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031220500,Health Services,4
17031220500,Other,1
17031220500,Personal Service,10
17031220500,Public Services,1
17031220500,Religious (except school or residence),1
17031220500,Retail,14
17031220500,Social Services & Political Advocacy,1
17031220500,Trade Service,12
17031220500,"Wholesale, storage and transit",1
17031220601,Arts and Entertainment,2
17031220601,Childcare and Schools,1
17031220601,Dining,8
17031220601,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031220601,Fitness,2
17031220601,Health Services,9
17031220601,Industrial,1
17031220601,Other,1
17031220601,Personal Service,2
17031220601,Public Services,2
17031220601,Religious (except school or residence),1
17031220601,Retail,7
17031220601,Trade Service,6
17031220602,Arts and Entertainment,4
17031220602,Childcare and Schools,1
17031220602,Dining,13
17031220602,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031220602,Health Services,8
17031220602,Personal Service,7
17031220602,Religious (except school or residence),2
17031220602,Retail,21
17031220602,Service or Programmed Residential Space,2
17031220602,Social Services & Political Advocacy,7
17031220602,Trade Service,11
17031220602,"Wholesale, storage and transit",1
17031220701,Arts and Entertainment,2
17031220701,Childcare and Schools,1
17031220701,Dining,4
17031220701,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031220701,Health Services,5
17031220701,Personal Service,3
17031220701,Religious (except school or residence),1
17031220701,Retail,6
17031220701,Social Services & Political Advocacy,1
17031220701,Trade Service,5
17031220701,"Wholesale, storage and transit",2
17031220702,Childcare and Schools,4
17031220702,Dining,4
17031220702,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031220702,Health Services,4
17031220702,Industrial,5
17031220702,Personal Service,3
17031220702,Public Services,1
17031220702,Religious (except school or residence),1
17031220702,Retail,11
17031220702,Trade Service,17
17031220702,"Wholesale, storage and transit",3
17031220901,Arts and Entertainment,1
17031220901,Childcare and Schools,1
17031220901,Dining,1
17031220901,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031220901,Fitness,2
17031220901,Health Services,1
17031220901,Personal Service,1
17031220901,Retail,3
17031220901,Service or Programmed Residential Space,1
17031220901,Trade Service,3
17031220901,"Wholesale, storage and transit",2
17031220902,Arts and Entertainment,4
17031220902,Childcare and Schools,4
17031220902,Dining,4
17031220902,"Financial, Insurance, Real Estate, Legal, and Professional",7
17031220902,Health Services,2
17031220902,Industrial,1
17031220902,Personal Service,2
17031220902,Retail,9
17031220902,Service or Programmed Residential Space,1
17031220902,Trade Service,8
17031220902,"Wholesale, storage and transit",5
17031221000,Arts and Entertainment,1
17031221000,Dining,8
17031221000,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031221000,Fitness,1
17031221000,Health Services,3
17031221000,Personal Service,1
17031221000,Retail,4
17031221000,Trade Service,9
17031221000,"Wholesale, storage and transit",2
17031221100,Arts and Entertainment,6
17031221100,Childcare and Schools,2
17031221100,Dining,3
17031221100,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031221100,Health Services,8
17031221100,Industrial,1
17031221100,Personal Service,8
17031221100,Religious (except school or residence),2
17031221100,Retail,8
17031221100,Service or Programmed Residential Space,4
17031221100,Social Services & Political Advocacy,3
17031221100,Trade Service,13
17031221100,"Wholesale, storage and transit",4
17031221200,Arts and Entertainment,3
17031221200,Childcare and Schools,2
17031221200,Dining,4
17031221200,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031221200,Fitness,1
17031221200,Health Services,5
17031221200,Other,1
17031221200,Personal Service,4
17031221200,Religious (except school or residence),2
17031221200,Retail,5
17031221200,Social Services & Political Advocacy,1
17031221200,Trade Service,2
17031221300,Arts and Entertainment,5
17031221300,Childcare and Schools,2
17031221300,Dining,21
17031221300,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031221300,Fitness,1
17031221300,Health Services,9
17031221300,Industrial,1
17031221300,Personal Service,6
17031221300,Public Services,2
17031221300,Religious (except school or residence),5
17031221300,Retail,17
17031221300,Service or Programmed Residential Space,2
17031221300,Social Services & Political Advocacy,2
17031221300,Trade Service,13
17031221300,"Wholesale, storage and transit",1
17031221400,Arts and Entertainment,5
17031221400,Childcare and Schools,4
17031221400,Dining,16
17031221400,"Financial, Insurance, Real Estate, Legal, and Professional",11
17031221400,Fitness,5
17031221400,Health Services,5
17031221400,Industrial,1
17031221400,Personal Service,8
17031221400,Public Services,1
17031221400,Retail,15
17031221400,Social Services & Political Advocacy,1
17031221400,Trade Service,21
17031221400,"Wholesale, storage and transit",3
17031221500,Arts and Entertainment,1
17031221500,Childcare and Schools,3
17031221500,Dining,9
17031221500,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031221500,Fitness,1
17031221500,Health Services,3
17031221500,Industrial,1
17031221500,Personal Service,3
17031221500,Religious (except school or residence),1
17031221500,Retail,9
17031221500,Service or Programmed Residential Space,2
17031221500,Trade Service,6
17031221500,"Wholesale, storage and transit",1
17031221600,Arts and Entertainment,3
17031221600,Childcare and Schools,1
17031221600,Dining,12
17031221600,"Financial, Insurance, Real Estate, Legal, and Professional",24
17031221600,Fitness,3
17031221600,Health Services,8
17031221600,Industrial,1
17031221600,Other,1
17031221600,Personal Service,4
17031221600,Retail,8
17031221600,Service or Programmed Residential Space,1
17031221600,Social Services & Political Advocacy,2
17031221600,Trade Service,18
17031221600,"Wholesale, storage and transit",2
17031222200,Arts and Entertainment,6
17031222200,Childcare and Schools,3
17031222200,Dining,11
17031222200,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031222200,Fitness,1
17031222200,Health Services,6
17031222200,Personal Service,4
17031222200,Retail,8
17031222200,Service or Programmed Residential Space,1
17031222200,Social Services & Political Advocacy,1
17031222200,Trade Service,14
17031222200,"Wholesale, storage and transit",3
17031222500,Childcare and Schools,1
17031222500,Dining,2
17031222500,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222500,Health Services,1
17031222500,Personal Service,3
17031222500,Public Services,1
17031222500,Religious (except school or residence),2
17031222500,Retail,2
17031222500,Trade Service,6
17031222500,"Wholesale, storage and transit",1
17031222600,Arts and Entertainment,1
17031222600,Dining,1
17031222600,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031222600,Fitness,1
17031222600,Health Services,5
17031222600,Personal Service,2
17031222600,Religious (except school or residence),2
17031222600,Retail,3
17031222600,Social Services & Political Advocacy,1
17031222600,Trade Service,7
17031222600,"Wholesale, storage and transit",1
17031222700,Childcare and Schools,1
17031222700,Dining,8
17031222700,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031222700,Health Services,4
17031222700,Industrial,1
17031222700,Religious (except school or residence),1
17031222700,Retail,8
17031222700,Social Services & Political Advocacy,2
17031222700,Trade Service,4
17031222800,Dining,2
17031222800,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222800,Personal Service,1
17031222800,Religious (except school or residence),1
17031222800,Retail,2
17031222800,Service or Programmed Residential Space,1
17031222800,Social Services & Political Advocacy,1
17031222900,Childcare and Schools,1
17031222900,Dining,2
17031222900,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031222900,Fitness,2
17031222900,Health Services,3
17031222900,Personal Service,2
17031222900,Public Services,1
17031222900,Retail,4
17031222900,Trade Service,10
17031222900,"Wholesale, storage and transit",1
17031231500,Social Services & Political Advocacy,1
17031250200,Dining,3
17031250200,Industrial,5
17031250200,Personal Service,3
17031250200,Public Services,1
17031250200,Religious (except school or residence),1
17031250200,Retail,6
17031250200,Social Services & Political Advocacy,1
17031250200,Trade Service,5
17031250200,"Wholesale, storage and transit",2
17031250300,Childcare and Schools,1
17031250300,Dining,3
17031250300,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031250300,Industrial,5
17031250300,Personal Service,6
17031250300,Religious (except school or residence),7
17031250300,Retail,6
17031250300,Social Services & Political Advocacy,1
17031250300,Trade Service,3
17031250300,"Wholesale, storage and transit",2
17031250400,Arts and Entertainment,2
17031250400,Childcare and Schools,3
17031250400,Dining,4
17031250400,"Financial, Insurance, Real Estate, Legal, and Professional",9
