census_tract,PlaceType,count_of_Active_PlaceStatus
17031670200,Personal Service,2
17031670200,Religious (except school or residence),1
17031670200,Retail,3
17031670200,Trade Service,3
17031670300,Childcare and Schools,1
17031670300,Dining,5
17031670300,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031670300,Other,2
17031670300,Personal Service,1
17031670300,Religious (except school or residence),4
17031670300,Retail,4
17031670300,Social Services & Political Advocacy,1
17031670300,Trade Service,1
17031670400,Childcare and Schools,1
17031670400,Dining,1
17031670400,Other,1
17031670400,Religious (except school or residence),2
17031670400,Retail,2
17031670500,Fitness,1
17031670500,Personal Service,1
17031670500,Religious (except school or residence),1
17031670500,Retail,3
17031670500,Trade Service,1
17031670500,"Wholesale, storage and transit",1
17031670600,Childcare and Schools,1
17031670600,Religious (except school or residence),3
17031670700,Dining,1
17031670700,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031670700,Health Services,2
17031670700,Personal Service,3
17031670700,Religious (except school or residence),4
17031670700,Retail,7
17031670700,Social Services & Political Advocacy,2
17031670700,Trade Service,2
17031670800,Childcare and Schools,2
17031670800,Dining,1
17031670800,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031670800,Health Services,1
17031670800,Personal Service,4
17031670800,Public Services,3
17031670800,Religious (except school or residence),2
17031670800,Retail,5
17031670800,Service or Programmed Residential Space,1
17031670800,Trade Service,1
17031670800,"Wholesale, storage and transit",1
17031670900,Childcare and Schools,1
17031670900,Personal Service,1
17031670900,Religious (except school or residence),5
17031670900,Retail,1
17031670900,Trade Service,1
17031671100,Childcare and Schools,3
17031671100,Personal Service,1
17031671100,Public Services,1
17031671100,Religious (except school or residence),3
17031671100,Trade Service,1
17031671100,"Wholesale, storage and transit",1
17031671200,Dining,1
17031671200,Personal Service,1
17031671200,Public Services,2
17031671200,Religious (except school or residence),3
17031671200,Retail,3
17031671200,Social Services & Political Advocacy,1
17031671300,Childcare and Schools,1
17031671300,Dining,2
17031671300,Personal Service,2
17031671300,Religious (except school or residence),1
17031671300,Retail,1
17031671300,Trade Service,2
17031671400,Childcare and Schools,1
17031671400,Dining,1
17031671400,Personal Service,1
17031671400,Retail,2
17031671400,Service or Programmed Residential Space,1
17031671400,Social Services & Political Advocacy,1
17031671500,Childcare and Schools,2
17031671500,Dining,5
17031671500,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031671500,Personal Service,2
17031671500,Religious (except school or residence),1
17031671500,Retail,10
17031671500,Trade Service,2
17031671600,Dining,2
17031671600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031671600,Other,1
17031671600,Personal Service,2
17031671600,Religious (except school or residence),8
17031671600,Retail,6
17031671600,Service or Programmed Residential Space,1
17031671600,Social Services & Political Advocacy,1
17031671600,Trade Service,2
17031671800,Childcare and Schools,3
17031671800,Religious (except school or residence),3
17031671800,Retail,2
17031671800,Trade Service,1
17031671900,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031671900,Religious (except school or residence),2
17031671900,Retail,3
17031671900,Trade Service,1
17031671900,"Wholesale, storage and transit",1
17031672000,Childcare and Schools,4
17031672000,Industrial,2
17031672000,Personal Service,3
17031672000,Religious (except school or residence),2
17031672000,Retail,3
17031672000,Social Services & Political Advocacy,1
17031672000,Trade Service,2
17031680500,Fitness,1
17031680500,Religious (except school or residence),4
17031680600,Personal Service,1
17031680600,Religious (except school or residence),3
17031680600,Retail,5
17031680900,Childcare and Schools,8
17031680900,Dining,3
17031680900,Health Services,2
17031680900,Personal Service,1
17031680900,Public Services,1
17031680900,Religious (except school or residence),8
17031680900,Retail,8
17031680900,Service or Programmed Residential Space,4
17031680900,Social Services & Political Advocacy,1
17031680900,Trade Service,1
17031681000,Childcare and Schools,2
17031681000,Dining,1
17031681000,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031681000,Health Services,5
17031681000,Personal Service,3
17031681000,Retail,5
17031681000,Service or Programmed Residential Space,2
17031681000,Social Services & Political Advocacy,1
17031681100,Childcare and Schools,2
17031681100,Dining,3
17031681100,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031681100,Health Services,1
17031681100,Personal Service,1
17031681100,Religious (except school or residence),9
17031681100,Retail,1
17031681100,Social Services & Political Advocacy,1
17031681100,Trade Service,1
17031681200,Childcare and Schools,4
17031681200,Dining,4
17031681200,Health Services,1
17031681200,Religious (except school or residence),5
17031681200,Retail,5
17031681200,Service or Programmed Residential Space,1
17031681200,Social Services & Political Advocacy,1
17031681200,Trade Service,1
17031681300,Childcare and Schools,1
17031681300,Fitness,1
17031681300,Public Services,1
17031681300,Religious (except school or residence),2
17031681300,Retail,2
17031681300,Trade Service,1
17031681400,Childcare and Schools,3
17031681400,Dining,1
17031681400,Religious (except school or residence),5
17031681400,Retail,6
17031681400,Trade Service,2
17031681400,"Wholesale, storage and transit",1
17031710100,Childcare and Schools,2
17031710100,Dining,2
17031710100,Health Services,1
17031710100,Personal Service,2
17031710100,Religious (except school or residence),2
17031710100,Retail,4
17031710100,Service or Programmed Residential Space,1
17031710100,Social Services & Political Advocacy,1
17031710100,Trade Service,3
17031710200,Arts and Entertainment,1
17031710200,Childcare and Schools,2
17031710200,Dining,2
17031710200,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031710200,Personal Service,2
17031710200,Public Services,1
17031710200,Religious (except school or residence),5
17031710200,Retail,4
17031710200,Social Services & Political Advocacy,1
17031710200,Trade Service,2
17031710300,Arts and Entertainment,1
17031710300,Childcare and Schools,1
17031710300,Dining,1
17031710300,Industrial,1
17031710300,Religious (except school or residence),5
17031710300,Retail,2
17031710300,Service or Programmed Residential Space,1
17031710300,Social Services & Political Advocacy,2
17031710300,"Wholesale, storage and transit",1
17031710400,Childcare and Schools,4
17031710400,Dining,6
17031710400,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031710400,Fitness,1
17031710400,Personal Service,6
17031710400,Religious (except school or residence),11
17031710400,Retail,8
17031710400,Trade Service,2
17031710400,"Wholesale, storage and transit",1
17031710500,Childcare and Schools,7
17031710500,Dining,4
17031710500,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031710500,Fitness,1
17031710500,Health Services,1
17031710500,Personal Service,5
17031710500,Public Services,1
17031710500,Religious (except school or residence),6
17031710500,Retail,12
17031710500,Service or Programmed Residential Space,2
17031710500,Trade Service,4
17031710500,"Wholesale, storage and transit",3
17031710600,Childcare and Schools,4
17031710600,Dining,1
17031710600,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031710600,Personal Service,3
17031710600,Religious (except school or residence),2
17031710600,Retail,4
17031710700,Childcare and Schools,4
17031710700,Dining,3
17031710700,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031710700,Health Services,2
17031710700,Personal Service,7
17031710700,Public Services,1
17031710700,Religious (except school or residence),9
17031710700,Retail,5
17031710700,Service or Programmed Residential Space,4
17031710700,Trade Service,4
17031710700,"Wholesale, storage and transit",1
17031710800,Arts and Entertainment,1
17031710800,Childcare and Schools,7
17031710800,Dining,6
17031710800,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031710800,Health Services,3
17031710800,Personal Service,5
17031710800,Public Services,2
17031710800,Religious (except school or residence),7
17031710800,Retail,10
17031710800,Service or Programmed Residential Space,2
17031710800,Social Services & Political Advocacy,8
17031710800,Trade Service,5
17031710900,Childcare and Schools,2
17031710900,Dining,2
17031710900,Industrial,1
17031710900,Other,1
17031710900,Personal Service,2
17031710900,Public Services,1
17031710900,Religious (except school or residence),2
17031710900,Retail,6
17031710900,Service or Programmed Residential Space,2
17031710900,Social Services & Political Advocacy,3
17031710900,Trade Service,3
17031710900,"Wholesale, storage and transit",1
17031711000,Arts and Entertainment,2
17031711000,Childcare and Schools,4
17031711000,Dining,3
17031711000,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031711000,Personal Service,6
17031711000,Religious (except school or residence),14
17031711000,Retail,2
17031711000,Social Services & Political Advocacy,1
17031711000,Trade Service,1
17031711000,"Wholesale, storage and transit",1
17031711100,Arts and Entertainment,1
17031711100,Childcare and Schools,4
17031711100,Dining,3
17031711100,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031711100,Fitness,1
17031711100,Personal Service,7
17031711100,Public Services,1
17031711100,Religious (except school or residence),12
17031711100,Retail,9
17031711100,Trade Service,4
17031711200,Arts and Entertainment,2
17031711200,Childcare and Schools,9
17031711200,Dining,3
17031711200,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031711200,Fitness,1
17031711200,Health Services,6
17031711200,Personal Service,9
17031711200,Religious (except school or residence),10
17031711200,Retail,2
17031711200,Service or Programmed Residential Space,1
17031711200,Social Services & Political Advocacy,1
17031711200,Trade Service,2
17031711200,"Wholesale, storage and transit",1
17031711300,Arts and Entertainment,2
17031711300,Childcare and Schools,2
17031711300,Dining,4
17031711300,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031711300,Health Services,2
17031711300,Personal Service,5
17031711300,Religious (except school or residence),4
17031711300,Retail,2
17031711300,Service or Programmed Residential Space,1
17031711300,Social Services & Political Advocacy,1
17031711300,Trade Service,1
17031711400,Arts and Entertainment,1
17031711400,Childcare and Schools,2
17031711400,Dining,3
17031711400,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031711400,Industrial,1
17031711400,Personal Service,7
17031711400,Public Services,1
17031711400,Religious (except school or residence),6
17031711400,Retail,11
17031711400,Service or Programmed Residential Space,1
17031711400,Social Services & Political Advocacy,1
17031711400,Trade Service,7
17031711400,"Wholesale, storage and transit",4
17031711500,Childcare and Schools,4
17031711500,Religious (except school or residence),3
17031711500,Trade Service,1
17031821500,Childcare and Schools,1
17031830700,Arts and Entertainment,3
17031830700,Childcare and Schools,5
17031830700,Dining,19
17031830700,"Financial, Insurance, Real Estate, Legal, and Professional",36
17031830700,Fitness,1
17031830700,Health Services,29
17031830700,Other,3
17031830700,Personal Service,11
17031830700,Public Services,2
17031830700,Religious (except school or residence),4
17031830700,Retail,18
17031830700,Service or Programmed Residential Space,5
17031830700,Social Services & Political Advocacy,17
17031830700,Trade Service,11
17031830700,"Wholesale, storage and transit",2
17031830800,Arts and Entertainment,1
17031830800,Dining,1
17031830800,Health Services,1
17031830800,Retail,2
17031830800,Trade Service,2
17031830900,Arts and Entertainment,9
17031830900,Childcare and Schools,2
17031830900,Dining,17
17031830900,"Financial, Insurance, Real Estate, Legal, and Professional",18
17031830900,Fitness,4
17031830900,Health Services,10
17031830900,Industrial,4
17031830900,Personal Service,12
17031830900,Retail,38
17031830900,Service or Programmed Residential Space,1
17031830900,Trade Service,29
17031830900,"Wholesale, storage and transit",7
17031831000,Arts and Entertainment,2
17031831000,Childcare and Schools,1
17031831000,Dining,2
17031831000,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031831000,Fitness,1
17031831000,Health Services,1
17031831000,Industrial,2
17031831000,Personal Service,3
17031831000,Public Services,2
17031831000,Retail,2
17031831000,Social Services & Political Advocacy,1
17031831000,Trade Service,9
17031831000,"Wholesale, storage and transit",1
17031831200,Arts and Entertainment,1
17031831200,Childcare and Schools,3
17031831200,Dining,6
17031831200,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031831200,Health Services,4
17031831200,Industrial,3
17031831200,Personal Service,4
17031831200,Religious (except school or residence),5
17031831200,Retail,19
17031831200,Service or Programmed Residential Space,1
17031831200,Social Services & Political Advocacy,2
17031831200,Trade Service,9
17031831200,"Wholesale, storage and transit",7
17031831300,Arts and Entertainment,1
17031831300,Dining,1
17031831300,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031831300,Health Services,1
17031831300,Industrial,7
17031831300,Personal Service,3
17031831300,Retail,13
17031831300,Trade Service,10
17031831300,"Wholesale, storage and transit",2
17031831400,Arts and Entertainment,1
17031831400,Childcare and Schools,5
17031831400,Dining,6
17031831400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031831400,Health Services,4
17031831400,Industrial,12
17031831400,Personal Service,3
17031831400,Public Services,1
17031831400,Religious (except school or residence),3
17031831400,Retail,23
17031831400,Service or Programmed Residential Space,1
17031831400,Social Services & Political Advocacy,2
17031831400,Trade Service,20
17031831400,"Wholesale, storage and transit",10
17031832200,Arts and Entertainment,8
17031832200,Childcare and Schools,3
17031832200,Dining,15
17031832200,"Financial, Insurance, Real Estate, Legal, and Professional",20
17031832200,Fitness,2
17031832200,Health Services,10
17031832200,Industrial,1
17031832200,Other,1
17031832200,Personal Service,14
17031832200,Religious (except school or residence),2
17031832200,Retail,13
17031832200,Social Services & Political Advocacy,1
17031832200,Trade Service,18
17031832200,"Wholesale, storage and transit",1
17031832300,Arts and Entertainment,3
17031832300,Childcare and Schools,6
17031832300,Dining,12
17031832300,"Financial, Insurance, Real Estate, Legal, and Professional",39
17031832300,Fitness,5
17031832300,Health Services,14
17031832300,Industrial,8
17031832300,Personal Service,6
17031832300,Religious (except school or residence),2
17031832300,Retail,24
17031832300,Service or Programmed Residential Space,1
17031832300,Social Services & Political Advocacy,3
17031832300,Trade Service,31
17031832300,"Wholesale, storage and transit",13
17031832400,Arts and Entertainment,6
17031832400,Childcare and Schools,3
17031832400,Dining,5
17031832400,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031832400,Fitness,1
17031832400,Health Services,5
17031832400,Industrial,1
17031832400,Personal Service,4
17031832400,Public Services,1
17031832400,Retail,10
17031832400,Social Services & Political Advocacy,2
17031832400,Trade Service,10
17031832400,"Wholesale, storage and transit",2
17031833900,Arts and Entertainment,1
17031833900,Childcare and Schools,6
17031833900,Dining,4
17031833900,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031833900,Fitness,1
17031833900,Health Services,4
17031833900,Other,1
17031833900,Personal Service,3
17031833900,Public Services,1
17031833900,Religious (except school or residence),6
17031833900,Retail,11
17031833900,Service or Programmed Residential Space,1
17031833900,Social Services & Political Advocacy,4
17031833900,Trade Service,1
17031834600,Childcare and Schools,4
17031834600,Dining,1
17031834600,Fitness,1
17031834600,Other,1
17031834600,Public Services,1
17031834600,Religious (except school or residence),4
17031834600,Retail,1
17031834600,Service or Programmed Residential Space,1
17031834600,Social Services & Political Advocacy,1
17031834600,"Wholesale, storage and transit",1
17031834700,Childcare and Schools,3
17031834700,Religious (except school or residence),3
17031834700,Retail,4
17031834700,Social Services & Political Advocacy,2
17031834700,Trade Service,1
17031834800,Childcare and Schools,1
17031834800,Health Services,1
17031834800,Other,1
17031834800,Personal Service,1
17031834800,Religious (except school or residence),1
17031834800,Retail,1
17031834800,Service or Programmed Residential Space,1
17031834800,Social Services & Political Advocacy,2
17031834900,Childcare and Schools,3
17031834900,Dining,1
17031834900,Fitness,1
17031834900,Personal Service,2
17031834900,Religious (except school or residence),3
17031834900,Retail,1
17031834900,Service or Programmed Residential Space,2
17031835200,Dining,1
17031835800,Dining,3
17031835800,Personal Service,1
17031835800,Religious (except school or residence),6
17031835800,Retail,4
17031836000,Arts and Entertainment,1
17031836000,Childcare and Schools,4
17031836000,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031836000,Health Services,1
17031836000,Personal Service,2
17031836000,Public Services,1
17031836000,Religious (except school or residence),8
17031836000,Social Services & Political Advocacy,3
17031836000,Trade Service,1
17031836200,Arts and Entertainment,13
17031836200,Childcare and Schools,55
17031836200,Dining,13
17031836200,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031836200,Fitness,2
17031836200,Health Services,10
17031836200,Other,2
17031836200,Public Services,3
17031836200,Religious (except school or residence),9
17031836200,Retail,2
17031836200,Service or Programmed Residential Space,4
17031836200,Social Services & Political Advocacy,4
17031836200,Trade Service,2
17031836200,"Wholesale, storage and transit",4
17031836300,Childcare and Schools,1
17031836300,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031836300,Trade Service,1
17031836300,"Wholesale, storage and transit",1
17031838600,Childcare and Schools,1
17031838600,Personal Service,1
17031838600,Religious (except school or residence),3
17031838600,Retail,3
17031838600,Service or Programmed Residential Space,1
17031838600,Social Services & Political Advocacy,1
17031838600,Trade Service,3
17031838600,"Wholesale, storage and transit",3
17031838700,Childcare and Schools,2
17031838700,Dining,5
17031838700,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031838700,Health Services,2
17031838700,Other,1
17031838700,Personal Service,2
17031838700,Religious (except school or residence),13
17031838700,Retail,13
17031838700,Service or Programmed Residential Space,1
17031838700,Social Services & Political Advocacy,2
17031838700,Trade Service,2
17031839000,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031841500,Childcare and Schools,5
17031841500,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031841500,Personal Service,1
17031841500,Public Services,1
17031841500,Religious (except school or residence),10
17031841500,Retail,5
17031841500,Service or Programmed Residential Space,1
17031841500,Trade Service,2
17031842400,Trade Service,1
17031842800,Arts and Entertainment,3
17031842800,Childcare and Schools,5
17031842800,Dining,12
17031842800,"Financial, Insurance, Real Estate, Legal, and Professional",10
17031842800,Health Services,6
17031842800,Industrial,14
17031842800,Personal Service,4
17031842800,Public Services,4
17031842800,Religious (except school or residence),1
17031842800,Retail,30
17031842800,Social Services & Political Advocacy,1
17031842800,Trade Service,20
17031842800,Unknown,1
17031842800,"Wholesale, storage and transit",20
17031843000,Arts and Entertainment,2
17031843000,Childcare and Schools,7
17031843000,Dining,10
17031843000,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031843000,Fitness,2
17031843000,Health Services,5
17031843000,Industrial,9
17031843000,Other,1
17031843000,Personal Service,4
17031843000,Public Services,3
17031843000,Religious (except school or residence),8
17031843000,Retail,16
17031843000,Service or Programmed Residential Space,2
17031843000,Social Services & Political Advocacy,4
17031843000,Trade Service,5
17031843000,"Wholesale, storage and transit",2
17031843100,Arts and Entertainment,1
17031843100,Childcare and Schools,3
17031843100,Fitness,1
17031843100,Health Services,2
17031843100,Personal Service,1
17031843100,Religious (except school or residence),5
17031843100,Retail,1
17031843100,Service or Programmed Residential Space,1
17031843100,Trade Service,1
17031843300,Arts and Entertainment,1
17031843300,Childcare and Schools,3
17031843300,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031843300,Health Services,10
17031843300,Industrial,4
17031843300,Public Services,1
17031843300,Religious (except school or residence),5
17031843300,Retail,1
17031843300,Social Services & Political Advocacy,2
17031843300,Trade Service,6
17031843400,Arts and Entertainment,1
17031843400,Childcare and Schools,1
17031843400,Dining,3
17031843400,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031843400,Health Services,1
17031843400,Industrial,5
17031843400,Personal Service,1
17031843400,Public Services,1
17031843400,Religious (except school or residence),4
17031843400,Retail,15
17031843400,Trade Service,16
17031843400,"Wholesale, storage and transit",5
17031843600,Arts and Entertainment,1
17031843600,Childcare and Schools,2
17031843600,Dining,8
17031843600,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031843600,Health Services,3
17031843600,Personal Service,5
17031843600,Public Services,1
17031843600,Religious (except school or residence),1
17031843600,Retail,7
17031843600,Service or Programmed Residential Space,1
17031843600,Social Services & Political Advocacy,1
17031843600,Trade Service,4
17031844600,Arts and Entertainment,1
17031844600,Childcare and Schools,1
17031844600,Dining,1
17031844600,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031844600,Fitness,1
17031844600,Health Services,2
17031844600,Personal Service,2
17031844600,Religious (except school or residence),7
17031844600,Retail,1
17031844600,Service or Programmed Residential Space,3
17031844600,Social Services & Political Advocacy,6
17031844600,Unknown,1
17031844700,Arts and Entertainment,1
17031844700,Childcare and Schools,4
17031844700,Health Services,2
17031844700,Other,4
17031844700,Personal Service,1
17031844700,Public Services,1
17031844700,Religious (except school or residence),9
17031844700,Retail,4
17031844700,Social Services & Political Advocacy,3
17031844700,Trade Service,5
